Título,Preço,Localização
2 CASAS p/ RENDA 2 GARAGENS - VILA TAVARES,R$ 450.000,"Vl. Tavares, Maua"
CHÁCARA - LARANJAL PAULISTA - SÃO PAULO,R$ 2.000.000,", Laranjal Paulista"
TERRNO COM 3 CASAS- JD. MAUÁ,R$ 350.000,"Jd. Maua, Maua"
SOBRADO- JD.PEDROSO- MAUÁ/SP,R$ 1.200.000,"Jd. Pedroso, Maua"
APARTAMENTO - VILA FALCHI- MAUÁ-SP,R$ 300.000,"Vl. Falchi, Maua"
VILA EMILIO- MAUÁ,R$ 750.000,"Vl. Emilio, Maua"
APARTAMENTO- VILA VITORIA - MAUÁ SP,R$ 485.000,"Vl. Nossa Senhora das Vitorias, Maua"
TERRENO - VILA FALCHI - MAUÁ,R$ 350.000,"Vl. Falchi, Maua"
SITIO COM CASA- PONTES DE LACERDA - MATO GROSSO,R$ 1.930.000,", Pontes Gestal"
TERRENO COM 2 CASAS  VILA VITORIA- MAUÁ,R$ 650.000,"Vl. Nossa Senhora das Vitorias, Maua"
CASA - VILA ANA MARIA,R$ 1.100.000,"Vl. Ana Maria, Maua"
APARTAMENTO PQ. SÃO VICENTE-45M²- MAUÁ,R$ 280.000,"Pq. Sao Vicente, Maua"
CASA - JD CERQUEIRA LEITE - MAUÁ,R$ 170.000,"[ Não informado ], Maua"
SOBRADO - JD. COLUMBIA - MAUÁ SP,R$ 400.000,"Jd. Columbia, Maua"
SOBRADO - VILA ASSIS- MAUÁ SP,R$ 385.000,"Vl. Assis Brasil, Maua"
CASA - PQ DAS AMERICAS - MAUA,R$ 285.000,"Pq. das Americas, Maua"
SOBRADO - JD. CERQUEIRA LEITE - MAUÁ /SP,R$ 180.000,"[ Não informado ], Maua"
SOBRADO- JD. FEITAL- MAUÁ SP,R$ 480.000,"Vl. Feital, Maua"
"APARTAMENTO COBERTURA 98,00 M² - JARDIM SANTA LÍDIA",R$ 350.000,"Jd. Santa Lidia, Maua"
SOBRADO  - JD. MAUÁ - MAUÁ,R$ 480.000,"Jd. Maua, Maua"
CASA - JD. PRIMAVERA - MAUÁ,R$ 1.000,"Jd. Primavera, Maua"
CASA- JD. IPÊ- MAUÁ/SP,R$ 900,"Jd. Ipe, Maua"
CASA - JD. CRUZEIRO - MAUÁ,R$ 600,"Jd. Cruzeiro, Maua"
GALPÃO COMERCIAL/ INDUSTRIAL- JD. GUAPITUBA- MAUÁ SP,R$ 5.500,"Jd. Guapituba, Maua"
CASA - JD. CRUZEIRO - MAUÁ SP,R$ 850,"Jd. Cruzeiro, Maua"
PRÉDIO COMERCIAL - PQ. BOA ESPERANÇA - MAUÁ (AV. BARÃO DE MAUÁ),R$ 4.000,"Pq. Boa Esperanca, Maua"
SALÃO 80 M² - PQ. BOA ESPERANÇA - MAUÁ (AV. BARÃO DE MAUÁ),R$ 2.000,"Pq. Boa Esperanca, Maua"
SALÃO 80 M² - PQ. BOA ESPERANÇA - MAUÁ (AV. BARÃO DE MAUÁ),R$ 2.000,"Pq. Boa Esperanca, Maua"
CASA - PQ. BOA ESPERANÇA - MAUÁ (AV. BARÃO DE MAUÁ),R$ 700,"Pq. Boa Esperanca, Maua"
"SALÃO 150,00 M² - VILA VITÓRIA - MAUÁ (AV. CAPITÃO JOÃO)",R$ 5.000,"Vl. Nossa Senhora das Vitorias, Maua"
KITNET- JD.ZAIRA MAUÁ,R$ 850,"Jd. Zaira, Maua"
"SALÃO- 601,98 M²- JD. ITAPARK MAUÁ",R$ 15.000,"Jd. Itapark, Maua"
SALÃO TÉRREO - 90 M²- VILA VITORIA - MAUÁ (AV. CAPITÃO JOÃO),R$ 3.500,"Vl. Nossa Senhora das Vitorias, Maua"
3 CASAS - JD. ZAIRA MAUA,R$ 350.000,"Jd. Zaira, Maua"
SALAÃO COMERCIAL - JD. ZAIRA 25 M²- MAUÁ,R$ 1.000,"Jd. Zaira, Maua"
SALAÃO COMERCIAL - JD. ZAIRA 38 M²- MAUÁ,R$ 1.400,"Jd. Zaira, Maua"
GALPÃO - JD. GUAPITUBA (AV. CAPITÃO JOÃO),R$ 8.000,"Jd. Guapituba, Maua"
SALÃO  - VILA AMERICA - MAUA,R$ 1.600,"Vl. America, Maua"
GALPÃO - VILA ASSUNÇÃO - MAUA,R$ 8.000,"Vl. Assuncao, Santo Andre"
SALA COMERCIAL- VILA HELENA - SANTO ANDRÉ,R$ 1.550,"Vl. Helena, Santo Andre"
